gene_name	gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MIR17HG	ENSG00000215417.15	510.5379	2.086851	0.45649456	0.0000001296468	0.00003908852
ENSG00000267059	ENSG00000267059.2	207.744	-3.074382	0.83709425	0.0000001281851	0.00003908852
C4B	ENSG00000224389.10	3209.861	-2.72425	0.67314873	0.0000001384429	0.00004111754
NECTIN3	ENSG00000177707.12	1513.944	1.551955	0.33130298	0.0000001486904	0.00004351162
TRPV4	ENSG00000111199.13	50.53931	-2.00258	0.43831466	0.0000001577146	0.00004548353
ACHE	ENSG00000087085.17	97.23695	-2.590247	0.62651068	0.0000001632173	0.00004574453
MIR99AHG	ENSG00000215386.16	3245.295	2.057254	0.45377375	0.0000001620817	0.00004574453
PDIA5	ENSG00000065485.21	304.652	-1.1174	0.25440569	0.0000001873737	0.00005028852
RGS2	ENSG00000116741.8	1195.563	-2.134818	0.4796758	0.0000001891441	0.00005028852
TMEM65	ENSG00000164983.10	2445.584	1.010003	0.23376465	0.0000001831891	0.00005028852
TCTN1	ENSG00000204852.18	790.1498	-0.6148131	0.13442076	0.0000001895391	0.00005028852
CDC23	ENSG00000094880.12	1090.797	0.576994	0.12428865	0.0000001999718	0.00005148319
CCDC181	ENSG00000117477.14	88.12407	-1.391128	0.30447655	0.000000196961	0.00005148319
MSI1	ENSG00000135097.8	144.9849	-2.596415	0.63873638	0.0000002043908	0.00005148319
ZFP28	ENSG00000196867.9	753.5268	0.7054814	0.16061566	0.0000002027172	0.00005148319
IQCE	ENSG00000106012.20	643.0221	-0.8510392	0.19993216	0.0000002090169	0.00005199034
TLCD4	ENSG00000152078.11	891.0842	1.683201	0.36660436	0.0000002197464	0.00005398436
RPS6KL1	ENSG00000198208.13	159.2118	-1.862073	0.41108572	0.000000236953	0.00005750156
ITGA6	ENSG00000091409.18	37176.42	1.523461	0.33424282	0.0000002462542	0.0000590387
SPOCD1	ENSG00000134668.14	116.5855	-2.6731	0.68099607	0.0000002511535	0.00005949648
TPM2	ENSG00000198467.17	924.5184	-1.761053	0.38913647	0.0000002717429	0.00006361661
RAMP3	ENSG00000122679.9	170.6677	-1.754305	0.38870339	0.0000002871862	0.00006538719
RETREG1	ENSG00000154153.15	1561.05	1.638254	0.36214003	0.0000002924498	0.00006538719
B3GNT5	ENSG00000176597.13	1829.227	1.28486	0.29103438	0.0000002909797	0.00006538719
